,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,home_recent_win_rate,away_recent_win_rate,home_vs_away_win_rate,is_neutral
342,2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,Moscow,Russia,False,home_win,0.0,0.0,0.0,0
343,2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,Ekaterinburg,Russia,True,away_win,0.0,0.0,0.0,1
344,2018-06-15,Morocco,Iran,0,1,FIFA World Cup,Saint Petersburg,Russia,True,away_win,0.0,0.0,0.0,1
345,2018-06-15,Portugal,Spain,3,3,FIFA World Cup,Sochi,Russia,True,draw,0.0,0.0,0.0,1
346,2018-06-16,France,Australia,2,1,FIFA World Cup,Kazan,Russia,True,home_win,0.0,0.0,0.0,1
347,2018-06-16,Argentina,Iceland,1,1,FIFA World Cup,Moscow,Russia,True,draw,0.0,0.0,0.0,1
348,2018-06-16,Peru,Denmark,0,1,FIFA World Cup,Saransk,Russia,True,away_win,0.0,0.0,0.0,1
349,2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup,Kaliningrad,Russia,True,home_win,0.0,0.0,0.0,1
351,2018-06-17,Germany,Mexico,0,1,FIFA World Cup,Moscow,Russia,True,away_win,0.0,0.0,0.0,1
352,2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup,Rostov-on-Don,Russia,True,draw,0.0,0.0,0.0,1
350,2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,Samara,Russia,True,away_win,0.0,0.0,0.0,1
353,2018-06-18,Sweden,South Korea,1,0,FIFA World Cup,Nizhny Novgorod,Russia,True,home_win,0.0,0.0,0.0,1
354,2018-06-18,Belgium,Panama,3,0,FIFA World Cup,Sochi,Russia,True,home_win,0.0,0.0,0.0,1
355,2018-06-18,Tunisia,England,1,2,FIFA World Cup,Volgograd,Russia,True,away_win,0.0,0.0,0.0,1
356,2018-06-19,Colombia,Japan,1,2,FIFA World Cup,Saransk,Russia,True,away_win,0.0,0.0,0.0,1
357,2018-06-19,Poland,Senegal,1,2,FIFA World Cup,Moscow,Russia,True,away_win,0.0,0.0,0.0,1
358,2018-06-19,Russia,Egypt,3,1,FIFA World Cup,Saint Petersburg,Russia,False,home_win,0.2,0.0,0.0,0
361,2018-06-20,Iran,Spain,0,1,FIFA World Cup,Kazan,Russia,True,away_win,0.2,0.0,0.0,1
359,2018-06-20,Portugal,Morocco,1,0,FIFA World Cup,Moscow,Russia,True,home_win,0.0,0.0,0.0,1
360,2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,Rostov-on-Don,Russia,True,home_win,0.2,0.0,0.0,1
363,2018-06-21,France,Peru,1,0,FIFA World Cup,Ekaterinburg,Russia,True,home_win,0.2,0.0,0.0,1
364,2018-06-21,Argentina,Croatia,0,3,FIFA World Cup,Nizhny Novgorod,Russia,True,away_win,0.0,0.2,0.0,1
362,2018-06-21,Denmark,Australia,1,1,FIFA World Cup,Samara,Russia,True,draw,0.2,0.0,0.0,1
365,2018-06-22,Brazil,Costa Rica,2,0,FIFA World Cup,Saint Petersburg,Russia,True,home_win,0.0,0.0,0.0,1
366,2018-06-22,Nigeria,Iceland,2,0,FIFA World Cup,Volgograd,Russia,True,home_win,0.0,0.0,0.0,1
367,2018-06-22,Serbia,Switzerland,1,2,FIFA World Cup,Kaliningrad,Russia,True,away_win,0.2,0.0,0.0,1
368,2018-06-23,Belgium,Tunisia,5,2,FIFA World Cup,Moscow,Russia,True,home_win,0.2,0.0,0.0,1
369,2018-06-23,South Korea,Mexico,1,2,FIFA World Cup,Rostov-on-Don,Russia,True,away_win,0.0,0.2,0.0,1
370,2018-06-23,Germany,Sweden,2,1,FIFA World Cup,Sochi,Russia,True,home_win,0.0,0.2,0.0,1
373,2018-06-24,Poland,Colombia,0,3,FIFA World Cup,Kazan,Russia,True,away_win,0.0,0.0,0.0,1
371,2018-06-24,England,Panama,6,1,FIFA World Cup,Nizhny Novgorod,Russia,True,home_win,0.2,0.0,0.0,1
372,2018-06-24,Japan,Senegal,2,2,FIFA World Cup,Ekaterinburg,Russia,True,draw,0.2,0.2,0.0,1
377,2018-06-25,Iran,Portugal,1,1,FIFA World Cup,Saransk,Russia,True,draw,0.2,0.2,0.0,1
376,2018-06-25,Spain,Morocco,2,2,FIFA World Cup,Kaliningrad,Russia,True,draw,0.2,0.0,0.0,1
375,2018-06-25,Saudi Arabia,Egypt,2,1,FIFA World Cup,Volgograd,Russia,True,home_win,0.0,0.0,0.0,1
374,2018-06-25,Russia,Uruguay,0,3,FIFA World Cup,Samara,Russia,False,away_win,0.4,0.4,0.0,0
381,2018-06-26,Iceland,Croatia,1,2,FIFA World Cup,Rostov-on-Don,Russia,True,away_win,0.0,0.4,0.0,1
378,2018-06-26,Australia,Peru,0,2,FIFA World Cup,Sochi,Russia,True,away_win,0.0,0.0,0.0,1
379,2018-06-26,Denmark,France,0,0,FIFA World Cup,Moscow,Russia,True,draw,0.2,0.4,0.0,1
380,2018-06-26,Nigeria,Argentina,1,2,FIFA World Cup,Saint Petersburg,Russia,True,away_win,0.2,0.0,0.0,1
384,2018-06-27,Serbia,Brazil,0,2,FIFA World Cup,Moscow,Russia,True,away_win,0.2,0.2,0.0,1
385,2018-06-27,Switzerland,Costa Rica,2,2,FIFA World Cup,Nizhny Novgorod,Russia,True,draw,0.2,0.0,0.0,1
382,2018-06-27,South Korea,Germany,2,0,FIFA World Cup,Kazan,Russia,True,home_win,0.0,0.2,0.0,1
